?concept	?object	?predicat	1
governmental constitution	"http://en.wikipedia.org/wiki/Constitution#Governmental_constitutions"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	1
governmental constitution	"This defines the framework in which laws are made and in which they have force."	rel:editorialNote	1
governmental constitution	"a set of rules and principles that define the nature and extent of government"	rel:definition	1
governmental constitution	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
governmental constitution	<https://spec.edmcouncil.org/fibo/ontology/FND/Law/LegalCore/GovernmentalConstitution>	rel:isDefinedBy	1
governmental constitution	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
aud libor bba bloomberg	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
aud libor bba bloomberg	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
aud libor bba bloomberg	"individual representing the FpML floating interest index for the AUD-LIBOR-BBA-Bloomberg"	rel:definition	1
aud libor bba bloomberg	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
aud libor bba bloomberg	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/AUD-LIBOR-BBA-Bloomberg>	rel:isDefinedBy	1
aud libor bba bloomberg	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
financial asset	price	rel:hasAcquisitionPrice	1
financial asset	"An asset consisting of one or more financial instruments, treated as an asset"	rel:definition	1
financial asset	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
financial asset	<https://spec.edmcouncil.org/fibo/ontology/FND/Accounting/AccountingEquity/FinancialAsset>	rel:isDefinedBy	1
financial asset	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
difference	"https://en.oxforddictionaries.com/definition/difference"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
difference	"a quantity by which amounts differ; the remainder left after subtraction of one value from another"	rel:definition	1
difference	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
difference	<https://spec.edmcouncil.org/fibo/ontology/IND/EconomicIndicators/EconomicIndicators/Difference>	rel:isDefinedBy	1
difference	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
registry	"ISO/IEC 11179-3 Information technology - Metadata registries (MDR) - Part 3: Registry metamodel and basic attributes, Third edition, 2013-02-15"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
registry	registration authority	rel:isManagedBy	1
registry	registry entry	rel:hasRegistryEntry	1
registry	"a system, typically an information system, that records the registration of items"	rel:definition	1
registry	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
registry	<https://spec.edmcouncil.org/fibo/ontology/FBC/FunctionalEntities/RegistrationAuthorities/Registry>	rel:isDefinedBy	1
registry	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
company bylaw	"http://www.investorwords.com/660/bylaws.html"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	1
company bylaw	"The official rules and regulations which govern a corporation's management. Drawn up at the time of incorporation, along with the charter."	rel:definition	1
company bylaw	"corporate bylaw"	rel:altLabel	1
company bylaw	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
